MSN,YYYYMM,Value_x,Column_Order,Description,Unit,Month,Date,Value_y,c_v,Anomaly
TETCBUS,198809,6.221064,12,Total Primary Energy Consumption,Quadrillion Btu,9,1988-09-01,64.58,18.1,-0.26
CLTCBUS,198810,1.498257,1,Coal Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
NNTCBUS,198810,1.259569,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
PMTCBUS,198810,2.942807,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
FFTCBUS,198810,5.704981,4,Total Fossil Fuels Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
NUETBUS,198810,0.451551,5,Nuclear Electric Power Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
HVTCBUS,198810,0.052265,6,Hydroelectric Power Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
GETCBUS,198810,0.002954,7,Geothermal Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
SOTCBUS,198810,0,8,Solar Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
WYTCBUS,198810,0,9,Wind Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
BMTCBUS,198810,0.255517,10,Biomass Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
RETCBUS,198810,0.310737,11,Total Renewable Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
TETCBUS,198810,6.474842,12,Total Primary Energy Consumption,Quadrillion Btu,10,1988-10-01,53.94,12.18888889,-0.16
CLTCBUS,198811,1.493134,1,Coal Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
NNTCBUS,198811,1.485535,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
PMTCBUS,198811,2.850221,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
FFTCBUS,198811,5.829882,4,Total Fossil Fuels Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
NUETBUS,198811,0.419662,5,Nuclear Electric Power Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
HVTCBUS,198811,0.063762,6,Hydroelectric Power Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
GETCBUS,198811,0.002933,7,Geothermal Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
SOTCBUS,198811,0,8,Solar Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
WYTCBUS,198811,0,9,Wind Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
BMTCBUS,198811,0.247096,10,Biomass Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
RETCBUS,198811,0.313792,11,Total Renewable Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
TETCBUS,198811,6.569114,12,Total Primary Energy Consumption,Quadrillion Btu,11,1988-11-01,43.29,6.272222222,1.6
CLTCBUS,198812,1.667662,1,Coal Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
NNTCBUS,198812,1.861598,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
PMTCBUS,198812,3.063919,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
FFTCBUS,198812,6.596231,4,Total Fossil Fuels Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
NUETBUS,198812,0.467038,5,Nuclear Electric Power Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
HVTCBUS,198812,0.068748,6,Hydroelectric Power Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
GETCBUS,198812,0.002898,7,Geothermal Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
SOTCBUS,198812,0,8,Solar Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
WYTCBUS,198812,0,9,Wind Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
BMTCBUS,198812,0.255345,10,Biomass Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
RETCBUS,198812,0.326992,11,Total Renewable Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
TETCBUS,198812,7.395219,12,Total Primary Energy Consumption,Quadrillion Btu,12,1988-12-01,33.46,0.811111111,0.78
CLTCBUS,198901,1.661361,1,Coal Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
NNTCBUS,198901,2.093063,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
PMTCBUS,198901,2.872847,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
FFTCBUS,198901,6.634584,4,Total Fossil Fuels Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
NUETBUS,198901,0.490288,5,Nuclear Electric Power Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
HVTCBUS,198901,0.073277,6,Hydroelectric Power Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
GETCBUS,198901,0.005154,7,Geothermal Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
SOTCBUS,198901,0.002821,8,Solar Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
WYTCBUS,198901,0.000497,9,Wind Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
BMTCBUS,198901,0.266572,10,Biomass Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
RETCBUS,198901,0.348321,11,Total Renewable Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
TETCBUS,198901,7.47793,12,Total Primary Energy Consumption,Quadrillion Btu,1,1989-01-01,34.09,1.161111111,3.97
CLTCBUS,198902,1.570485,1,Coal Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
NNTCBUS,198902,2.082145,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
PMTCBUS,198902,2.697285,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
FFTCBUS,198902,6.352085,4,Total Fossil Fuels Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
NUETBUS,198902,0.409824,5,Nuclear Electric Power Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
HVTCBUS,198902,0.065188,6,Hydroelectric Power Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
GETCBUS,198902,0.004654,7,Geothermal Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
SOTCBUS,198902,0.003041,8,Solar Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
WYTCBUS,198902,0.000763,9,Wind Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
BMTCBUS,198902,0.243927,10,Biomass Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
RETCBUS,198902,0.317572,11,Total Renewable Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
TETCBUS,198902,7.085748,12,Total Primary Energy Consumption,Quadrillion Btu,2,1989-02-01,29.17,-1.572222222,-4.65
CLTCBUS,198903,1.558177,1,Coal Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
NNTCBUS,198903,2.022197,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
PMTCBUS,198903,3.003263,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
FFTCBUS,198903,6.586898,4,Total Fossil Fuels Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
NUETBUS,198903,0.419471,5,Nuclear Electric Power Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
HVTCBUS,198903,0.079268,6,Hydroelectric Power Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
GETCBUS,198903,0.005438,7,Geothermal Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
SOTCBUS,198903,0.00422,8,Solar Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
WYTCBUS,198903,0.000873,9,Wind Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
BMTCBUS,198903,0.268315,10,Biomass Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
RETCBUS,198903,0.358115,11,Total Renewable Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
TETCBUS,198903,7.366579,12,Total Primary Energy Consumption,Quadrillion Btu,3,1989-03-01,42.67,5.927777778,1.17
CLTCBUS,198904,1.421056,1,Coal Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
NNTCBUS,198904,1.650696,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
PMTCBUS,198904,2.693884,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
FFTCBUS,198904,5.772522,4,Total Fossil Fuels Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
NUETBUS,198904,0.354476,5,Nuclear Electric Power Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
HVTCBUS,198904,0.084295,6,Hydroelectric Power Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
GETCBUS,198904,0.004797,7,Geothermal Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
SOTCBUS,198904,0.00466,8,Solar Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
WYTCBUS,198904,0.000812,9,Wind Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
BMTCBUS,198904,0.251946,10,Biomass Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
RETCBUS,198904,0.346511,11,Total Renewable Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
TETCBUS,198904,6.476837,12,Total Primary Energy Consumption,Quadrillion Btu,4,1989-04-01,52.86,11.58888889,1.82
CLTCBUS,198905,1.465828,1,Coal Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
NNTCBUS,198905,1.413189,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
PMTCBUS,198905,2.778194,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
FFTCBUS,198905,5.66289,4,Total Fossil Fuels Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
NUETBUS,198905,0.405739,5,Nuclear Electric Power Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
HVTCBUS,198905,0.0982,6,Hydroelectric Power Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
GETCBUS,198905,0.005064,7,Geothermal Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
SOTCBUS,198905,0.005109,8,Solar Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
WYTCBUS,198905,0.000697,9,Wind Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
BMTCBUS,198905,0.241235,10,Biomass Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
RETCBUS,198905,0.350304,11,Total Renewable Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
TETCBUS,198905,6.422993,12,Total Primary Energy Consumption,Quadrillion Btu,5,1989-05-01,60.44,15.8,0.25
CLTCBUS,198906,1.571761,1,Coal Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
NNTCBUS,198906,1.262426,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
PMTCBUS,198906,2.849206,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
FFTCBUS,198906,5.687456,4,Total Fossil Fuels Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
NUETBUS,198906,0.454815,5,Nuclear Electric Power Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
HVTCBUS,198906,0.090614,6,Hydroelectric Power Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
GETCBUS,198906,0.004984,7,Geothermal Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
SOTCBUS,198906,0.005175,8,Solar Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
WYTCBUS,198906,0.000534,9,Wind Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
BMTCBUS,198906,0.248447,10,Biomass Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
RETCBUS,198906,0.349753,11,Total Renewable Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
TETCBUS,198906,6.497441,12,Total Primary Energy Consumption,Quadrillion Btu,6,1989-06-01,68.11,20.06111111,-0.36
CLTCBUS,198907,1.705408,1,Coal Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
NNTCBUS,198907,1.288763,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
PMTCBUS,198907,2.771958,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
FFTCBUS,198907,5.769796,4,Total Fossil Fuels Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
NUETBUS,198907,0.553819,5,Nuclear Electric Power Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
HVTCBUS,198907,0.079373,6,Hydroelectric Power Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
GETCBUS,198907,0.005069,7,Geothermal Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
SOTCBUS,198907,0.005476,8,Solar Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
WYTCBUS,198907,0.000485,9,Wind Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
BMTCBUS,198907,0.261318,10,Biomass Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
RETCBUS,198907,0.35172,11,Total Renewable Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
TETCBUS,198907,6.682684,12,Total Primary Energy Consumption,Quadrillion Btu,7,1989-07-01,74.19,23.43888889,0.6
CLTCBUS,198908,1.717331,1,Coal Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
NNTCBUS,198908,1.282892,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
PMTCBUS,198908,2.924922,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
FFTCBUS,198908,5.927662,4,Total Fossil Fuels Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
NUETBUS,198908,0.581511,5,Nuclear Electric Power Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
HVTCBUS,198908,0.070675,6,Hydroelectric Power Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
GETCBUS,198908,0.004919,7,Geothermal Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
SOTCBUS,198908,0.005389,8,Solar Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
WYTCBUS,198908,0.000352,9,Wind Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
BMTCBUS,198908,0.276985,10,Biomass Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
RETCBUS,198908,0.35832,11,Total Renewable Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
TETCBUS,198908,6.873345,12,Total Primary Energy Consumption,Quadrillion Btu,8,1989-08-01,71.29,21.82777778,-0.79
CLTCBUS,198909,1.550947,1,Coal Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
NNTCBUS,198909,1.242952,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
PMTCBUS,198909,2.719971,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
FFTCBUS,198909,5.515428,4,Total Fossil Fuels Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
NUETBUS,198909,0.474507,5,Nuclear Electric Power Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
HVTCBUS,198909,0.066237,6,Hydroelectric Power Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
GETCBUS,198909,0.004609,7,Geothermal Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
SOTCBUS,198909,0.004941,8,Solar Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
WYTCBUS,198909,0.000956,9,Wind Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
BMTCBUS,198909,0.264811,10,Biomass Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
RETCBUS,198909,0.341553,11,Total Renewable Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
TETCBUS,198909,6.334581,12,Total Primary Energy Consumption,Quadrillion Btu,9,1989-09-01,64.06,17.81111111,-0.78
CLTCBUS,198910,1.524699,1,Coal Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
NNTCBUS,198910,1.400854,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
PMTCBUS,198910,2.896565,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
FFTCBUS,198910,5.818518,4,Total Fossil Fuels Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
NUETBUS,198910,0.460972,5,Nuclear Electric Power Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
HVTCBUS,198910,0.070285,6,Hydroelectric Power Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
GETCBUS,198910,0.004835,7,Geothermal Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
SOTCBUS,198910,0.004501,8,Solar Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
WYTCBUS,198910,0.000599,9,Wind Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
BMTCBUS,198910,0.276462,10,Biomass Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
RETCBUS,198910,0.356682,11,Total Renewable Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
TETCBUS,198910,6.636256,12,Total Primary Energy Consumption,Quadrillion Btu,10,1989-10-01,54.34,12.41111111,0.24
CLTCBUS,198911,1.534514,1,Coal Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
NNTCBUS,198911,1.630263,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
PMTCBUS,198911,2.799093,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
FFTCBUS,198911,5.962743,4,Total Fossil Fuels Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
NUETBUS,198911,0.459296,5,Nuclear Electric Power Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
HVTCBUS,198911,0.074172,6,Hydroelectric Power Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
GETCBUS,198911,0.004623,7,Geothermal Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
SOTCBUS,198911,0.003697,8,Solar Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
WYTCBUS,198911,0.000419,9,Wind Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
BMTCBUS,198911,0.276819,10,Biomass Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
RETCBUS,198911,0.359731,11,Total Renewable Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
TETCBUS,198911,6.77871,12,Total Primary Energy Consumption,Quadrillion Btu,11,1989-11-01,42.91,6.061111111,1.22
CLTCBUS,198912,1.788196,1,Coal Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
NNTCBUS,198912,2.232167,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
PMTCBUS,198912,3.157566,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
FFTCBUS,198912,7.175947,4,Total Fossil Fuels Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
NUETBUS,198912,0.537442,5,Nuclear Electric Power Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
HVTCBUS,198912,0.076402,6,Hydroelectric Power Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
GETCBUS,198912,0.004948,7,Geothermal Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
SOTCBUS,198912,0.003465,8,Solar Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
WYTCBUS,198912,0.000219,9,Wind Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
BMTCBUS,198912,0.28252,10,Biomass Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
RETCBUS,198912,0.367555,11,Total Renewable Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
TETCBUS,198912,8.079173,12,Total Primary Energy Consumption,Quadrillion Btu,12,1989-12-01,27.73,-2.372222222,-4.95
CLTCBUS,199001,1.651617,1,Coal Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
NNTCBUS,199001,2.214586,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
PMTCBUS,199001,2.849383,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
FFTCBUS,199001,6.71583,4,Total Fossil Fuels Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
NUETBUS,199001,0.583273,5,Nuclear Electric Power Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
HVTCBUS,199001,0.083078,6,Hydroelectric Power Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
GETCBUS,199001,0.005514,7,Geothermal Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
SOTCBUS,199001,0.003015,8,Solar Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
WYTCBUS,199001,0.001028,9,Wind Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
BMTCBUS,199001,0.236692,10,Biomass Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
RETCBUS,199001,0.329327,11,Total Renewable Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
TETCBUS,199001,7.627286,12,Total Primary Energy Consumption,Quadrillion Btu,1,1990-01-01,36.48,2.488888889,6.36
CLTCBUS,199002,1.465526,1,Coal Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
NNTCBUS,199002,1.907248,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
PMTCBUS,199002,2.597232,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
FFTCBUS,199002,5.970118,4,Total Fossil Fuels Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
NUETBUS,199002,0.528705,5,Nuclear Electric Power Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
HVTCBUS,199002,0.086122,6,Hydroelectric Power Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
GETCBUS,199002,0.005032,7,Geothermal Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
SOTCBUS,199002,0.003256,8,Solar Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
WYTCBUS,199002,0.000789,9,Wind Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
BMTCBUS,199002,0.226266,10,Biomass Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
RETCBUS,199002,0.321465,11,Total Renewable Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
TETCBUS,199002,6.816815,12,Total Primary Energy Consumption,Quadrillion Btu,2,1990-02-01,36.7,2.611111111,2.88
CLTCBUS,199003,1.528733,1,Coal Consumption,Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
NNTCBUS,199003,1.87065,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
PMTCBUS,199003,2.853453,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
FFTCBUS,199003,6.25336,4,Total Fossil Fuels Consumption,Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
NUETBUS,199003,0.487694,5,Nuclear Electric Power Consumption,Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
HVTCBUS,199003,0.098841,6,Hydroelectric Power Consumption,Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
GETCBUS,199003,0.00554,7,Geothermal Energy Consumption,Quadrillion Btu,3,1990-03-01,44.74,7.077777778,3.24
